City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Vitoria Da Conquista,BR,-14.8661,-40.8394,63.55,82,0,3.58,clear sky
284,Chulman,RU,56.8479,124.9104,-31.14,95,98,1.36,overcast clouds
285,Victoria,HK,22.2855,114.1577,73.45,81,39,5.01,scattered clouds
286,Ngozi,BI,-2.9075,29.8306,53.26,92,89,1.01,light rain
287,Kavieng,PG,-2.5744,150.7967,82.8,75,85,6.35,moderate rain
288,Ladario,BR,-19.0047,-57.6017,72.57,97,100,3.18,overcast clouds
289,Saint-Georges,GD,12.0564,-61.7485,76.68,88,20,18.41,few clouds
290,Uyuni,BO,-20.4597,-66.825,51.22,63,100,7.07,overcast clouds
291,Honningsvag,NO,70.9821,25.9704,44.35,76,75,18.41,light rain
292,Mount Gambier,AU,-37.8333,140.7667,71.71,48,7,9.53,clear sky
293,Gerede,TR,40.8008,32.1969,17.74,98,100,5.73,snow
294,Diplo,PK,24.4667,69.584,67.8,20,1,5.73,clear sky
295,Homer,US,59.6425,-151.5483,33.67,91,100,5.75,light snow
296,Garden City,US,42.3256,-83.331,32.9,83,100,12.66,overcast clouds
297,Luderitz,NA,-26.6481,15.1594,64.54,87,15,13.29,few clouds
298,Saint-Leu,RE,-21.15,55.2833,77.86,75,73,3.33,broken clouds
299,Kendari,ID,-3.945,122.4989,87.96,60,87,3.09,overcast clouds
300,Kovdor,RU,67.5662,30.4758,30.2,97,100,8.95,light snow
301,Zhezkazgan,KZ,47.8043,67.7144,-9.42,84,40,2.24,mist
302,Caravelas,BR,-17.7125,-39.2481,76.95,90,0,7.4,clear sky
303,Iqaluit,CA,63.7506,-68.5145,-31.27,66,0,0.0,clear sky
304,Parkes,AU,-33.1333,148.1833,96.35,21,0,8.41,clear sky
305,Mayo,US,38.8876,-76.5119,42.15,70,0,4.61,clear sky
306,Baruun-Urt,MN,46.6806,113.2792,4.87,76,2,7.02,clear sky
307,Huejuquilla El Alto,MX,22.6,-103.8667,56.77,41,2,4.74,clear sky
308,Bassano,CA,50.7834,-112.4685,37.89,75,45,9.15,scattered clouds
309,Havre-Saint-Pierre,CA,50.2334,-63.5986,8.6,77,0,4.61,clear sky
310,Port Macquarie,AU,-31.4333,152.9167,79.9,61,16,11.21,few clouds
311,Grand Forks,US,47.9417,-97.4337,31.73,80,0,17.27,clear sky
312,Yaan,NG,7.3833,8.5667,76.26,46,61,4.92,broken clouds
313,Vila Velha,BR,-20.3297,-40.2925,76.95,90,0,0.0,clear sky
314,Laje,BR,-10.1833,-40.9667,72.18,73,66,2.91,broken clouds
315,Inhambane,MZ,-23.865,35.3833,75.33,88,89,6.49,moderate rain
316,Ambulu,ID,-8.345,113.6058,83.55,70,99,6.4,overcast clouds
317,Tambun,ID,-6.2641,107.0712,91.04,66,40,3.44,scattered clouds
318,Krasnoselkup,RU,65.7,82.4667,1.53,97,100,5.06,light snow
319,Naze,JP,28.3667,129.4833,70.72,81,59,13.96,broken clouds
320,Kamien Pomorski,PL,53.9685,14.7726,24.96,83,14,6.53,few clouds
321,Bathsheba,BB,13.2167,-59.5167,79.41,73,40,18.41,scattered clouds
322,Moro,PK,26.6646,68.0016,64.51,25,1,1.68,clear sky
323,Ajaccio,FR,42.0,8.9167,39.25,75,100,3.44,overcast clouds
324,Port Hardy,CA,50.6996,-127.4199,46.58,93,100,10.36,moderate rain
325,Coihaique,CL,-45.5752,-72.0662,54.21,62,0,1.14,clear sky
326,Pinotepa Nacional,MX,16.3167,-98.0167,71.29,83,1,1.77,clear sky
327,Tateyama,JP,34.9833,139.8667,57.09,55,50,9.31,scattered clouds
328,Barcelos,PT,41.5388,-8.6151,49.84,66,0,7.27,clear sky
329,Griffith,US,41.5284,-87.4237,42.06,68,0,16.11,clear sky
330,Great Bend,US,38.3645,-98.7648,42.04,69,0,14.97,clear sky
331,Sambava,MG,-14.2667,50.1667,74.57,89,100,5.64,overcast clouds
332,Motatei,RO,44.0833,23.2,27.61,64,11,4.79,few clouds
333,Huadian,CN,42.9633,126.7478,16.09,77,22,2.51,few clouds
334,Thenzawl,IN,23.3167,92.75,65.3,35,0,1.92,clear sky
335,Daru,PG,-9.0763,143.2092,78.4,87,100,11.74,light rain
336,Dzaoudzi,YT,-12.7887,45.2699,76.89,94,0,3.44,light rain
337,Yagodnoye,RU,62.55,149.6667,-26.9,98,99,2.13,overcast clouds
338,Adrar,MR,20.5022,-10.0711,59.02,26,8,9.48,clear sky
339,Meadow Lake,US,34.8014,-106.5436,41.29,34,85,11.1,overcast clouds
340,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.18,94,100,3.65,overcast clouds
341,Nuevo Casas Grandes,MX,30.4167,-107.9167,51.73,25,0,19.22,clear sky
342,Deputatskiy,RU,69.3,139.9,-30.5,97,100,3.8,overcast clouds
343,Imbituba,BR,-28.24,-48.6703,70.61,87,17,3.22,few clouds
344,Carballo,ES,43.213,-8.691,44.87,81,0,3.78,clear sky
345,Amur,RU,54.0,128.0,-16.51,76,4,6.46,clear sky
